Season;Direction;Player;Age;Position;Nationality;From Club;To Club;Fee (raw);Fee Type;Fee (EUR);Market Value
2023/24;Arrival;Junior Dina Ebimbe;22;Right Midfield;France;Paris SG;;ýýý6.50m;transfer;6500000.0;ýýý6.50m
2023/24;Arrival;Ansgar Knauff;21;Right Winger;Germany;Bor. Dortmund;;ýýý5.00m;transfer;5000000.0;ýýý5.00m
2023/24;Arrival;Jessic Ngankam;22;Centre-Forward;Germany;Hertha BSC;;ýýý4.00m;transfer;4000000.0;ýýý4.00m
2023/24;Arrival;Hugo Ekitikï¿;21;Centre-Forward;France;Paris SG;;Loan fee:ï¿½ï¿½ï¿;loan;3500000.0;Loan fee:ï¿½ï¿½ï¿
2023/24;Arrival;Donny van de Beek;26;Central Midfield;Netherlands;Man Utd;;Loan fee:ï¿½ï¿½ï¿;loan;3000000.0;Loan fee:ï¿½ï¿½ï¿
2023/24;Arrival;Nathaniel Brown;20;Left-Back;Germany;1.FC Nuremberg;;ýýý3.00m;transfer;3000000.0;ýýý3.00m
2023/24;Arrival;Philipp Max;29;Left-Back;Germany;PSV Eindhoven;;ýýý2.00m;transfer;2000000.0;ýýý2.00m
2023/24;Arrival;Kauï¿½ï¿½ï¿½;20;Goalkeeper;Brazil;Flamengo U20;;ýýý1.60m;transfer;1600000.0;ýýý1.60m
2023/24;Arrival;Nnamdi Collins;19;Centre-Back;Germany;B. Dortmund II;;ýýý1.00m;transfer;1000000.0;ýýý1.00m
2023/24;Arrival;Robin Koch;26;Centre-Back;Germany;Leeds;;Loan fee:ï¿½ï¿½ï;loan;500000.0;Loan fee:ï¿½ï¿½ï
2023/24;Arrival;Rafael Borrï¿;28;Centre-Forward;Colombia;Werder Bremen;;End of loan04.03.2024;loan_return;0.0;End of loan04.03.2024
2023/24;Arrival;Sidney Raebiger;18;Central Midfield;Germany;Greuther Fï¿½ï¿;;ýýý50k;transfer;50000.0;ýýý50k
2023/24;Arrival;Ellyes Skhiri;28;Defensive Midfield;Tunisia;1.FC Kï¿½ï;;free transfer;free;0.0;free transfer
2023/24;Arrival;Omar Marmoush;24;Centre-Forward;Egypt;VfL Wolfsburg;;free transfer;free;0.0;free transfer
2023/24;Arrival;Sasa Kalajdzic;26;Centre-Forward;Austria;Wolves;;loan transfer;loan;;loan transfer
2023/24;Arrival;Dario Gebuhr;20;Centre-Back;Germany;E. Frankfurt II;;-;undisclosed;;-
2023/24;Arrival;Elias Baum;18;Right-Back;Germany;E. Frankfurt II;;-;undisclosed;;-
2023/24;Arrival;Harpreet Ghotra;20;Central Midfield;Germany;E. Frankfurt II;;-;undisclosed;;-
2023/24;Arrival;Jens Petter Hauge;23;Left Winger;Norway;KAA Gent;;End of loan30.06.2023;loan_return;0.0;End of loan30.06.2023
2023/24;Arrival;Jï¿½ï¿½ï¿½ï¿½ï¿½ï¿;25;Centre-Back;Cameroon;RB Salzburg;;End of loan30.06.2023;loan_return;0.0;End of loan30.06.2023
