Season;Direction;Player;Age;Position;Nationality;From Club;To Club;Fee (raw);Fee Type;Fee (EUR);Market Value
2017/18;Arrival;Sï¿½ï¿½ï¿½ï¿½ï¿½ï;23;Centre-Forward;Cote d'Ivoire;FC Utrecht;;ýýý12.00m;transfer;12000000.0;ýýý12.00m
2017/18;Arrival;Jetro Willems;23;Centre-Back;Netherlands;PSV Eindhoven;;ýýý4.50m;transfer;4500000.0;ýýý4.50m
2017/18;Arrival;Simon Falette;25;Centre-Back;Guinea;FC Metz;;ýýý2.70m;transfer;2700000.0;ýýý2.70m
2017/18;Arrival;Daichi Kamada;20;Attacking Midfield;Japan;Sagan Tosu;;ýýý1.60m;transfer;1600000.0;ýýý1.60m
2017/18;Arrival;Jonathan de Guzmï¿½;29;Central Midfield;Netherlands;Napoli;;ýýý1.00m;transfer;1000000.0;ýýý1.00m
2017/18;Arrival;Danny da Costa;23;Centre-Back;Germany;B. Leverkusen;;ýýý1.00m;transfer;1000000.0;ýýý1.00m
2017/18;Arrival;Carlos Salcedo;23;Centre-Back;Mexico;Chivas;;Loan fee:ï¿½ï¿½ï;loan;450000.0;Loan fee:ï¿½ï¿½ï
2017/18;Arrival;Marijan Cavar;19;Central Midfield;Bosnia-Herzegovina;Zrinjski Mostar;;ýýý400k;transfer;400000.0;ýýý400k
2017/18;Arrival;Gelson Fernandes;30;Defensive Midfield;Switzerland;Stade Rennais;;ýýý350k;transfer;350000.0;ýýý350k
2017/18;Arrival;Luka Joviï¿;19;Centre-Forward;Serbia;Benfica;;Loan fee:ï¿½ï¿½ï;loan;200000.0;Loan fee:ï¿½ï¿½ï
2017/18;Arrival;Kevin-Prince Boateng;30;Attacking Midfield;Ghana;UD Las Palmas;;free transfer;free;0.0;free transfer
2017/18;Arrival;Jan Zimmermann;32;Goalkeeper;Germany;1860 Munich;;free transfer;free;0.0;free transfer
2017/18;Arrival;Ante Rebiï¿;23;Left Winger;Croatia;Fiorentina;;loan transfer;loan;;loan transfer
2017/18;Arrival;Deji Beyreuther;18;Centre-Back;Germany;Frankfurt U19;;-;undisclosed;;-
2017/18;Arrival;Renat Dadashov;18;Centre-Forward;Azerbaijan;Frankfurt U19;;-;undisclosed;;-
2017/18;Arrival;Noel Knothe;18;Centre-Back;Germany;Frankfurt U19;;-;undisclosed;;-
2017/18;Arrival;Nelson Mandela Mbouhom;18;Central Midfield;Germany;Frankfurt U19;;-;undisclosed;;-
2017/18;Departure;Bastian Oczipka;28;Left-Back;Germany;;FC Schalke 04;ýýý4.50m;transfer;4500000.0;ýýý4.50m
2017/18;Departure;Andersson Ordï¿½ï¿½;24;Centre-Back;Ecuador;;LDU Quito;Loan fee:ï¿½ï¿½ï;loan;415000.0;Loan fee:ï¿½ï¿½ï
2017/18;Departure;Haris Seferovic;25;Centre-Forward;Switzerland;;Benfica;free transfer;free;0.0;free transfer
2017/18;Departure;Heinz Lindner;26;Goalkeeper;Austria;;Grasshoppers;free transfer;free;0.0;free transfer
2017/18;Departure;Slobodan Medojevic;27;Defensive Midfield;Serbia;;Darmstadt 98;free transfer;free;0.0;free transfer
2017/18;Departure;Furkan Zorba;19;Centre-Back;Germany;;VfL Osnabrï¿½ï;free transfer;free;0.0;free transfer
2017/18;Departure;Max Besuschkow;20;Central Midfield;Germany;;Holstein Kiel;loan transfer;loan;;loan transfer
2017/18;Departure;Yanni Regï¿½ï¿;22;Defensive Midfield;Germany;;Without Club;-;undisclosed;;-
2017/18;Departure;Jesï¿½ï¿½ï¿½ï¿;20;Centre-Back;Spain;;Real Madrid;End of loan30.06.2017;loan_return;0.0;End of loan30.06.2017
2017/18;Departure;Michael Hector;24;Centre-Back;Jamaica;;Chelsea;End of loan30.06.2017;loan_return;0.0;End of loan30.06.2017
2017/18;Departure;Ante Rebiï¿;23;Left Winger;Croatia;;Fiorentina;End of loan30.06.2017;loan_return;0.0;End of loan30.06.2017
2017/18;Departure;Shani Tarashaj;22;Second Striker;Switzerland;;Everton;End of loan30.06.2017;loan_return;0.0;End of loan30.06.2017
2017/18;Departure;Guillermo Varela;24;Right-Back;Uruguay;;Man Utd;End of loan30.06.2017;loan_return;0.0;End of loan30.06.2017
2018/19;Arrival;Evan Ndicka;18;Centre-Back;Cote d'Ivoire;AJ Auxerre;;ýýý5.50m;transfer;5500000.0;ýýý5.50m
2018/19;Arrival;Carlos Salcedo;24;Centre-Back;Mexico;Chivas;;ýýý5.00m;transfer;5000000.0;ýýý5.00m
2018/19;Arrival;Ante Rebiï¿;24;Left Winger;Croatia;Fiorentina;;ýýý4.50m;transfer;4500000.0;ýýý4.50m
2018/19;Arrival;Tuta;19;Centre-Back;Brazil;Sï¿½ï¿½ï¿½ï¿½ï;;ýýý3.80m;transfer;3800000.0;ýýý3.80m
2018/19;Arrival;Lucas Torrï¿;23;Defensive Midfield;Spain;Real Madrid;;ýýý3.50m;transfer;3500000.0;ýýý3.50m
2018/19;Arrival;Gonï¿½ï¿½ï¿½ï¿½ï¿½ï;23;Centre-Forward;Portugal;FC Porto;;ýýý3.00m;transfer;3000000.0;ýýý3.00m
2018/19;Arrival;Frederik Rï¿½ï¿½;25;Goalkeeper;Denmark;Brï¿½ï¿½ï¿½;;ýýý2.80m;transfer;2800000.0;ýýý2.80m
2018/19;Arrival;Martin Hinteregger;26;Centre-Back;Austria;FC Augsburg;;Loan fee:ï¿½ï¿½ï;loan;800000.0;Loan fee:ï¿½ï¿½ï
2018/19;Arrival;Almamy Tourï¿;22;Centre-Back;Mali;Monaco;;ýýý750k;transfer;750000.0;ýýý750k
2018/19;Arrival;Filip Kostiï¿;25;Left Midfield;Serbia;Hamburger SV;;Loan fee:ï¿½ï¿½ï;loan;600000.0;Loan fee:ï¿½ï¿½ï
2018/19;Arrival;Marius Wolf;23;Right-Back;Germany;Hannover 96;;ýýý500k;transfer;500000.0;ýýý500k
2018/19;Arrival;Chico Geraldes;23;Attacking Midfield;Portugal;Sporting CP;;Loan fee:ï¿½ï¿½ï;loan;200000.0;Loan fee:ï¿½ï¿½ï
2018/19;Arrival;Nicolai Mï¿½ï¿½;30;Attacking Midfield;Germany;Hamburger SV;;free transfer;free;0.0;free transfer
2018/19;Arrival;Felix Wiedwald;28;Goalkeeper;Germany;Leeds;;free transfer;free;0.0;free transfer
2018/19;Arrival;Kevin Trapp;28;Goalkeeper;Germany;Paris SG;;loan transfer;loan;;loan transfer
2018/19;Arrival;Sebastian Rode;28;Central Midfield;Germany;Bor. Dortmund;;loan transfer;loan;;loan transfer
2018/19;Arrival;Allan;21;Defensive Midfield;Brazil;Liverpool U21;;loan transfer;loan;;loan transfer
2018/19;Arrival;ýýahverdi ýýetin;18;Central Midfield;Tï¿½ï¿½ï;Frankfurt U19;;-;undisclosed;;-
2018/19;Arrival;Mischa Hï¿½ï¿½;18;Left Winger;Germany;Frankfurt U19;;-;undisclosed;;-
2018/19;Arrival;Patrice Kabuya;18;Right Winger;Germany;Frankfurt U19;;-;undisclosed;;-
2018/19;Arrival;Tobias Stirl;18;Goalkeeper;Germany;Frankfurt U19;;-;undisclosed;;-
2018/19;Arrival;Nils Stendera;18;Central Midfield;Germany;Frankfurt U19;;-;undisclosed;;-
2018/19;Arrival;Patrick Finger;18;Attacking Midfield;Germany;Frankfurt U19;;-;undisclosed;;-
2018/19;Arrival;Max Besuschkow;21;Central Midfield;Germany;Holstein Kiel;;End of loan30.06.2018;loan_return;0.0;End of loan30.06.2018
2018/19;Departure;Carlos Salcedo;25;Centre-Back;Mexico;;Tigres UANL;ýýý8.80m;transfer;8800000.0;ýýý8.80m
2018/19;Departure;Marius Wolf;23;Right-Back;Germany;;Bor. Dortmund;ýýý5.00m;transfer;5000000.0;ýýý5.00m
2018/19;Departure;Omar Mascarell;25;Defensive Midfield;Equatorial Guinea;;Real Madrid;ýýý4.00m;transfer;4000000.0;ýýý4.00m
2018/19;Departure;Aymen Barkok;20;Attacking Midfield;Morocco;;F. Dï¿½ï¿½ï¿½ï;Loan fee:ï¿½ï¿½ï;loan;800000.0;Loan fee:ï¿½ï¿½ï
2018/19;Departure;Nicolai Mï¿½ï¿½;31;Attacking Midfield;Germany;;Hannover 96;Loan fee:ï¿½ï¿½ï;loan;200000.0;Loan fee:ï¿½ï¿½ï
2018/19;Departure;Danny Blum;27;Left Winger;Germany;;UD Las Palmas;Loan fee:ï¿½ï¿½ï;loan;100000.0;Loan fee:ï¿½ï¿½ï
2018/19;Departure;Lukas Hradecky;28;Goalkeeper;Finland;;B. Leverkusen;free transfer;free;0.0;free transfer
2018/19;Departure;Kevin-Prince Boateng;31;Attacking Midfield;Ghana;;Sassuolo;free transfer;free;0.0;free transfer
2018/19;Departure;Marco Fabiï¿½;29;Attacking Midfield;Mexico;;Philadelphia;free transfer;free;0.0;free transfer
2018/19;Departure;Renat Dadashov;19;Centre-Forward;Azerbaijan;;Estoril;free transfer;free;0.0;free transfer
2018/19;Departure;Leon Bï¿½ï¿;20;Goalkeeper;Germany;;Wï¿½ï¿½ï¿½ï¿½ï¿;free transfer;free;0.0;free transfer
2018/19;Departure;Daichi Kamada;22;Attacking Midfield;Japan;;Sint-Truiden;loan transfer;loan;;loan transfer
2018/19;Departure;Felix Wiedwald;28;Goalkeeper;Germany;;MSV Duisburg;loan transfer;loan;;loan transfer
2018/19;Departure;Marijan Cavar;20;Central Midfield;Bosnia-Herzegovina;;NK Osijek;loan transfer;loan;;loan transfer
2018/19;Departure;Max Besuschkow;21;Central Midfield;Germany;;Union SG;loan transfer;loan;;loan transfer
2018/19;Departure;Deji Beyreuther;19;Centre-Back;Germany;;Chemnitzer FC;loan transfer;loan;;loan transfer
2018/19;Departure;Noel Knothe;19;Centre-Back;Germany;;FC Pipinsried;loan transfer;loan;;loan transfer
2018/19;Departure;Alexander Meier;35;Second Striker;Germany;;Without Club;-;undisclosed;;-
2018/19;Departure;Ante Rebiï¿;24;Left Winger;Croatia;;Fiorentina;End of loan30.06.2018;loan_return;0.0;End of loan30.06.2018
2018/19;Departure;Marius Wolf;23;Right-Back;Germany;;Hannover 96;End of loan30.06.2018;loan_return;0.0;End of loan30.06.2018
2018/19;Departure;Carlos Salcedo;24;Centre-Back;Mexico;;Chivas;End of loan30.06.2018;loan_return;0.0;End of loan30.06.2018
2018/19;Departure;Chico Geraldes;23;Attacking Midfield;Portugal;;Sporting CP;End of loan23.12.2018;loan_return;0.0;End of loan23.12.2018
2018/19;Departure;Allan;21;Defensive Midfield;Brazil;;Liverpool U21;End of loan31.01.2019;loan_return;0.0;End of loan31.01.2019
2019/20;Arrival;Luka Joviï¿;21;Centre-Forward;Serbia;Benfica;;ýýý22.34m;transfer;22340000.0;ýýý22.34m
2019/20;Arrival;Djibril Sow;22;Central Midfield;Switzerland;BSC Young Boys;;ýýý14.00m;transfer;14000000.0;ýýý14.00m
2019/20;Arrival;Martin Hinteregger;26;Centre-Back;Austria;FC Augsburg;;ýýý9.00m;transfer;9000000.0;ýýý9.00m
2019/20;Arrival;Dominik Kohr;25;Centre-Back;Germany;B. Leverkusen;;ýýý8.50m;transfer;8500000.0;ýýý8.50m
2019/20;Arrival;Bas Dost;30;Centre-Forward;Netherlands;Sporting CP;;ýýý7.00m;transfer;7000000.0;ýýý7.00m
2019/20;Arrival;Kevin Trapp;29;Goalkeeper;Germany;Paris SG;;ýýý7.00m;transfer;7000000.0;ýýý7.00m
2019/20;Arrival;Filip Kostiï¿;26;Left Midfield;Serbia;Hamburger SV;;ýýý6.30m;transfer;6300000.0;ýýý6.30m
2019/20;Arrival;Dejan Joveljiï¿;19;Centre-Forward;Serbia;Red Star;;ýýý4.00m;transfer;4000000.0;ýýý4.00m
2019/20;Arrival;Sebastian Rode;28;Central Midfield;Germany;Bor. Dortmund;;ýýý4.00m;transfer;4000000.0;ýýý4.00m
2019/20;Arrival;Stefan Ilsanker;30;Defensive Midfield;Austria;RB Leipzig;;ýýý500k;transfer;500000.0;ýýý500k
2019/20;Arrival;Erik Durm;27;Right-Back;Germany;Huddersfield;;free transfer;free;0.0;free transfer
2019/20;Arrival;Rodrigo Zalazar;19;Central Midfield;Uruguay;A. Malagueï¿½;;free transfer;free;0.0;free transfer
2019/20;Arrival;Andrï¿½ï¿½ï¿;23;Centre-Forward;Portugal;AC Milan;;loan transfer;loan;;loan transfer
2019/20;Arrival;Daichi Kamada;22;Attacking Midfield;Japan;Sint-Truiden;;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Arrival;Nicolai Mï¿½ï¿½;31;Attacking Midfield;Germany;Hannover 96;;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Arrival;Felix Wiedwald;29;Goalkeeper;Germany;MSV Duisburg;;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Arrival;Andersson Ordï¿½ï¿½;25;Centre-Back;Ecuador;LDU Quito;;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Arrival;Danny Blum;28;Left Winger;Germany;UD Las Palmas;;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Arrival;Max Besuschkow;22;Central Midfield;Germany;Union SG;;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Arrival;Marijan Cavar;21;Central Midfield;Bosnia-Herzegovina;NK Osijek;;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Arrival;Noel Knothe;20;Centre-Back;Germany;FC Pipinsried;;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Arrival;Deji Beyreuther;19;Centre-Back;Germany;Chemnitzer FC;;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Arrival;Rodrigo Zalazar;20;Central Midfield;Uruguay;Korona Kielce;;End of loan30.04.2020;loan_return;0.0;End of loan30.04.2020
2019/20;Departure;Luka Joviï¿;21;Centre-Forward;Serbia;;Real Madrid;ýýý63.00m;transfer;63000000.0;ýýý63.00m
2019/20;Departure;Sï¿½ï¿½ï¿½ï¿½ï¿½ï;25;Centre-Forward;Cote d'Ivoire;;West Ham;ýýý50.00m;transfer;50000000.0;ýýý50.00m
2019/20;Departure;Jetro Willems;25;Centre-Back;Netherlands;;Newcastle;Loan fee:ï¿½ï¿½ï¿;loan;1000000.0;Loan fee:ï¿½ï¿½ï¿
2019/20;Departure;Andersson Ordï¿½ï¿½;25;Centre-Back;Ecuador;;LDU Quito;ýýý450k;transfer;450000.0;ýýý450k
2019/20;Departure;Danny Blum;28;Left Winger;Germany;;VfL Bochum;ýýý250k;transfer;250000.0;ýýý250k
2019/20;Departure;Max Besuschkow;22;Central Midfield;Germany;;J. Regensburg;ýýý100k;transfer;100000.0;ýýý100k
2019/20;Departure;Nicolai Mï¿½ï¿½;32;Attacking Midfield;Germany;;Western Sydney;free transfer;free;0.0;free transfer
2019/20;Departure;Marc Stendera;23;Central Midfield;Germany;;Hannover 96;free transfer;free;0.0;free transfer
2019/20;Departure;Branimir Hrgota;26;Centre-Forward;Sweden;;Greuther Fï¿½ï¿;free transfer;free;0.0;free transfer
2019/20;Departure;Nelson Mandela Mbouhom;20;Central Midfield;Germany;;SF Lotte;free transfer;free;0.0;free transfer
2019/20;Departure;Tobias Stirl;19;Goalkeeper;Germany;;Wolfsburg II;free transfer;free;0.0;free transfer
2019/20;Departure;Patrice Kabuya;19;Right Winger;Germany;;Hamburger SV II;free transfer;free;0.0;free transfer
2019/20;Departure;Mischa Hï¿½ï¿½;19;Left Winger;Germany;;FSV Frankfurt;free transfer;free;0.0;free transfer
2019/20;Departure;Noel Knothe;20;Centre-Back;Germany;;Nuremberg II;free transfer;free;0.0;free transfer
2019/20;Departure;Deji Beyreuther;19;Centre-Back;Germany;;Hoffenheim II;free transfer;free;0.0;free transfer
2019/20;Departure;Ante Rebiï¿;25;Left Winger;Croatia;;AC Milan;loan transfer;loan;;loan transfer
2019/20;Departure;Dejan Joveljiï¿;20;Centre-Forward;Serbia;;RSC Anderlecht;loan transfer;loan;;loan transfer
2019/20;Departure;Simon Falette;27;Centre-Back;Guinea;;Fenerbahce;loan transfer;loan;;loan transfer
2019/20;Departure;Tuta;20;Centre-Back;Brazil;;KV Kortrijk;loan transfer;loan;;loan transfer
2019/20;Departure;Rodrigo Zalazar;19;Central Midfield;Uruguay;;Korona Kielce;loan transfer;loan;;loan transfer
2019/20;Departure;Taleb Tawatha;27;Left-Back;Israel;;Without Club;-;undisclosed;;-
2019/20;Departure;Luka Joviï¿;21;Centre-Forward;Serbia;;Benfica;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Departure;Filip Kostiï¿;26;Left Midfield;Serbia;;Hamburger SV;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Departure;Martin Hinteregger;26;Centre-Back;Austria;;FC Augsburg;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Departure;Kevin Trapp;28;Goalkeeper;Germany;;Paris SG;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2019/20;Departure;Sebastian Rode;28;Central Midfield;Germany;;Bor. Dortmund;End of loan30.06.2019;loan_return;0.0;End of loan30.06.2019
2020/21;Arrival;Andrï¿½ï¿½ï¿;24;Centre-Forward;Portugal;AC Milan;;ýýý3.00m;transfer;3000000.0;ýýý3.00m
2020/21;Arrival;Steven Zuber;28;Attacking Midfield;Switzerland;TSG Hoffenheim;;ýýý3.00m;transfer;3000000.0;ýýý3.00m
2020/21;Arrival;Ragnar Ache;21;Centre-Forward;Germany;Sparta R.;;ýýý2.00m;transfer;2000000.0;ýýý2.00m
2020/21;Arrival;Luka Joviï¿;23;Centre-Forward;Serbia;Real Madrid;;Loan fee:ï¿½ï¿½ï¿;loan;1000000.0;Loan fee:ï¿½ï¿½ï¿
2020/21;Arrival;Ajdin Hrustiï¿;24;Attacking Midfield;Australia;FC Groningen;;ýýý1.00m;transfer;1000000.0;ýýý1.00m
2020/21;Arrival;Amin Younes;27;Left Winger;Germany;Napoli;;Loan fee:ï¿½ï¿½ï;loan;750000.0;Loan fee:ï¿½ï¿½ï
2020/21;Arrival;Markus Schubert;22;Goalkeeper;Germany;FC Schalke 04;;loan transfer;loan;;loan transfer
2020/21;Arrival;Ali Akman;18;Centre-Forward;Tï¿½ï¿½ï;Without Club;;-;undisclosed;;-
2020/21;Arrival;Elias Bï¿½ï¿½ï;19;Goalkeeper;Germany;Frankfurt U19;;-;undisclosed;;-
2020/21;Arrival;Lukas Fahrnberger;19;Defensive Midfield;Austria;Frankfurt U19;;-;undisclosed;;-
2020/21;Arrival;Yannick Brugger;19;Centre-Back;Germany;Frankfurt U19;;-;undisclosed;;-
2020/21;Arrival;Felix Irorere;18;Centre-Back;Germany;Frankfurt U19;;-;undisclosed;;-
2020/21;Arrival;Fynn Otto;18;Centre-Back;Germany;Frankfurt U19;;-;undisclosed;;-
2020/21;Arrival;Jabez Makanda;18;Defensive Midfield;Angola;Frankfurt U19;;-;undisclosed;;-
2020/21;Arrival;Ante Rebiï¿;26;Left Winger;Croatia;AC Milan;;End of loan11.09.2020;loan_return;0.0;End of loan11.09.2020
2020/21;Arrival;Jetro Willems;26;Centre-Back;Netherlands;Newcastle;;End of loan30.06.2020;loan_return;0.0;End of loan30.06.2020
2020/21;Arrival;Dejan Joveljiï¿;20;Centre-Forward;Serbia;RSC Anderlecht;;End of loan30.06.2020;loan_return;0.0;End of loan30.06.2020
2020/21;Arrival;Simon Falette;28;Centre-Back;Guinea;Fenerbahce;;End of loan03.08.2020;loan_return;0.0;End of loan03.08.2020
2020/21;Arrival;Tuta;20;Centre-Back;Brazil;KV Kortrijk;;End of loan30.06.2020;loan_return;0.0;End of loan30.06.2020
2020/21;Arrival;Aymen Barkok;22;Attacking Midfield;Morocco;F. Dï¿½ï¿½ï¿½ï;;End of loan30.06.2020;loan_return;0.0;End of loan30.06.2020
2020/21;Departure;Ante Rebiï¿;26;Left Winger;Croatia;;AC Milan;ýýý6.70m;transfer;6700000.0;ýýý6.70m
2020/21;Departure;Bas Dost;31;Centre-Forward;Netherlands;;Club Brugge;ýýý4.00m;transfer;4000000.0;ýýý4.00m
2020/21;Departure;Mijat Gacinovic;25;Attacking Midfield;Serbia;;TSG Hoffenheim;ýýý3.00m;transfer;3000000.0;ýýý3.00m
2020/21;Departure;Gonï¿½ï¿½ï¿½ï¿½ï¿½ï;26;Centre-Forward;Portugal;;FC Schalke 04;Loan fee:ï¿½ï¿½ï¿;loan;2000000.0;Loan fee:ï¿½ï¿½ï¿
2020/21;Departure;Lucas Torrï¿;26;Defensive Midfield;Spain;;CA Osasuna;ýýý2.00m;transfer;2000000.0;ýýý2.00m
2020/21;Departure;Simon Falette;28;Centre-Back;Guinea;;Hannover 96;free transfer;free;0.0;free transfer
2020/21;Departure;Felix Wiedwald;30;Goalkeeper;Germany;;FC Emmen;free transfer;free;0.0;free transfer
2020/21;Departure;Marijan Cavar;22;Central Midfield;Bosnia-Herzegovina;;Greuther Fï¿½ï¿;free transfer;free;0.0;free transfer
2020/21;Departure;ýýahverdi ýýetin;19;Central Midfield;Tï¿½ï¿½ï;;Ankaragï¿½ï¿;free transfer;free;0.0;free transfer
2020/21;Departure;David Abraham;34;Centre-Back;Argentina;;CA Huracï¿½;free transfer;free;0.0;free transfer
2020/21;Departure;Patrick Finger;19;Attacking Midfield;Germany;;SVO Biebesheim;free transfer;free;0.0;free transfer
2020/21;Departure;Danny da Costa;27;Centre-Back;Germany;;1.FSV Mainz 05;loan transfer;loan;;loan transfer
2020/21;Departure;Dominik Kohr;26;Centre-Back;Germany;;1.FSV Mainz 05;loan transfer;loan;;loan transfer
2020/21;Departure;Dejan Joveljiï¿;21;Centre-Forward;Serbia;;Wolfsberger AC;loan transfer;loan;;loan transfer
2020/21;Departure;Frederik Rï¿½ï¿½;28;Goalkeeper;Denmark;;FC Schalke 04;loan transfer;loan;;loan transfer
2020/21;Departure;Rodrigo Zalazar;20;Central Midfield;Uruguay;;FC St. Pauli;loan transfer;loan;;loan transfer
2020/21;Departure;Nils Stendera;19;Central Midfield;Germany;;Lok Leipzig;loan transfer;loan;;loan transfer
2020/21;Departure;Jonathan de Guzmï¿½;32;Central Midfield;Netherlands;;Without Club;-;undisclosed;;-
2020/21;Departure;Marco Russ;34;Centre-Back;Germany;;;-;undisclosed;;-
2020/21;Departure;Jan Zimmermann;35;Goalkeeper;Germany;;;-;undisclosed;;-
2020/21;Departure;Gelson Fernandes;33;Defensive Midfield;Switzerland;;;-;undisclosed;;-
2020/21;Departure;Andrï¿½ï¿½ï¿;24;Centre-Forward;Portugal;;AC Milan;End of loan09.09.2020;loan_return;0.0;End of loan09.09.2020
2021/22;Arrival;Jesper Lindstrï¿½;21;Right Winger;Denmark;Brï¿½ï¿½ï¿½;;ýýý7.00m;transfer;7000000.0;ýýý7.00m
2021/22;Arrival;Sam Lammers;24;Centre-Forward;Netherlands;Atalanta BC;;Loan fee:ï¿½ï¿½ï¿;loan;3600000.0;Loan fee:ï¿½ï¿½ï¿
2021/22;Arrival;Igor Matanovic;18;Centre-Forward;Croatia;FC St. Pauli;;ýýý1.84m;transfer;1840000.0;ýýý1.84m
2021/22;Arrival;Jens Petter Hauge;21;Left Winger;Norway;AC Milan;;Loan fee:ï¿½ï¿½ï¿;loan;1600000.0;Loan fee:ï¿½ï¿½ï¿
2021/22;Arrival;Ansgar Knauff;20;Right Winger;Germany;Bor. Dortmund;;Loan fee:ï¿½ï¿½ï;loan;400000.0;Loan fee:ï¿½ï¿½ï
2021/22;Arrival;Jens Grahl;32;Goalkeeper;Germany;VfB Stuttgart;;ýýý250k;transfer;250000.0;ýýý250k
2021/22;Arrival;Diant Ramaj;19;Goalkeeper;Germany;Heidenheim;;ýýý100k;transfer;100000.0;ýýý100k
2021/22;Arrival;Rafael Borrï¿;25;Centre-Forward;Colombia;River Plate;;free transfer;free;0.0;free transfer
2021/22;Arrival;Christopher Lenz;26;Left-Back;Germany;Union Berlin;;free transfer;free;0.0;free transfer
2021/22;Arrival;Fabio Blanco;17;Left Winger;Spain;Valencia U19;;free transfer;free;0.0;free transfer
2021/22;Arrival;Enrique Herrero;16;Centre-Forward;Spain;Villarreal Yth.;;free transfer;free;0.0;free transfer
2021/22;Arrival;Kristijan Jakic;24;Defensive Midfield;Croatia;Dinamo Zagreb;;loan transfer;loan;;loan transfer
2021/22;Arrival;Antonio Foti;18;Attacking Midfield;Cyprus;Frankfurt U19;;-;undisclosed;;-
2021/22;Arrival;Jan Schrï¿½ï¿;18;Left-Back;Germany;Frankfurt U19;;-;undisclosed;;-
2021/22;Arrival;Martin Pecar;18;Attacking Midfield;Slovenia;Frankfurt U19;;-;undisclosed;;-
2021/22;Arrival;Danny da Costa;27;Centre-Back;Germany;1.FSV Mainz 05;;End of loan30.06.2021;loan_return;0.0;End of loan30.06.2021
2021/22;Arrival;Gonï¿½ï¿½ï¿½ï¿½ï¿½ï;26;Centre-Forward;Portugal;FC Schalke 04;;End of loan30.06.2021;loan_return;0.0;End of loan30.06.2021
2021/22;Arrival;Dejan Joveljiï¿;21;Centre-Forward;Serbia;Wolfsberger AC;;End of loan30.06.2021;loan_return;0.0;End of loan30.06.2021
2021/22;Arrival;Frederik Rï¿½ï¿½;28;Goalkeeper;Denmark;FC Schalke 04;;End of loan30.06.2021;loan_return;0.0;End of loan30.06.2021
2021/22;Arrival;Rodrigo Zalazar;21;Central Midfield;Uruguay;FC St. Pauli;;End of loan30.06.2021;loan_return;0.0;End of loan30.06.2021
2021/22;Arrival;Nils Stendera;20;Central Midfield;Germany;Lok Leipzig;;End of loan30.06.2021;loan_return;0.0;End of loan30.06.2021
2021/22;Departure;Andrï¿½ï¿½ï¿;25;Centre-Forward;Portugal;;RB Leipzig;ýýý23.00m;transfer;23000000.0;ýýý23.00m
2021/22;Departure;Dejan Joveljiï¿;21;Centre-Forward;Serbia;;LA Galaxy;ýýý3.50m;transfer;3500000.0;ýýý3.50m
2021/22;Departure;Frederik Rï¿½ï¿½;28;Goalkeeper;Denmark;;Union Berlin;ýýý1.00m;transfer;1000000.0;ýýý1.00m
2021/22;Departure;Fabio Blanco;17;Left Winger;Spain;;Barï¿½ï¿½ï¿½ï¿½;ýýý500k;transfer;500000.0;ýýý500k
2021/22;Departure;Steven Zuber;30;Attacking Midfield;Switzerland;;AEK Athens;Loan fee:ï¿½ï¿½ï;loan;400000.0;Loan fee:ï¿½ï¿½ï
2021/22;Departure;Jetro Willems;27;Centre-Back;Netherlands;;Greuther Fï¿½ï¿;free transfer;free;0.0;free transfer
2021/22;Departure;Jabez Makanda;20;Defensive Midfield;Angola;;FK Pirmasens;free transfer;free;0.0;free transfer
2021/22;Departure;Yannick Brugger;20;Centre-Back;Germany;;Admira Wacker;free transfer;free;0.0;free transfer
2021/22;Departure;Nils Stendera;20;Central Midfield;Germany;;Hessen Kassel;free transfer;free;0.0;free transfer
2021/22;Departure;Felix Irorere;19;Centre-Back;Germany;;Karlsruher SC;?;other;;?
2021/22;Departure;Rodrigo Zalazar;21;Central Midfield;Uruguay;;FC Schalke 04;loan transfer;loan;;loan transfer
2021/22;Departure;Ali Akman;19;Centre-Forward;Tï¿½ï¿½ï;;NEC Nijmegen;loan transfer;loan;;loan transfer
2021/22;Departure;Igor Matanovic;18;Centre-Forward;Croatia;;FC St. Pauli;loan transfer;loan;;loan transfer
2021/22;Departure;Martin Pecar;19;Attacking Midfield;Slovenia;;Austria Vienna;loan transfer;loan;;loan transfer
2021/22;Departure;Elias Bï¿½ï¿½ï;19;Goalkeeper;Germany;;Viktoria Kï¿½ï;loan transfer;loan;;loan transfer
2021/22;Departure;Fynn Otto;19;Centre-Back;Germany;;Hallescher FC;loan transfer;loan;;loan transfer
